round,avg_global_train_loss,avg_personalized_train_loss,avg_global_test_rmse,avg_personalized_test_rmse
1,4.5310203352828955,42.78708497580434,1.4295444,1.436343
2,2.5958772472987057,64.39583119547873,1.2884803,1.2920392
3,1.7600897244318852,33.61793015931805,1.1912158,1.1837299
4,1.4383986973220078,31.12920682890918,1.1559534,1.1454232
5,1.271029442369723,31.18579368052763,1.1459621,1.1335622
6,1.1746625788403144,31.406805492997467,1.1402662,1.1256326
7,1.119385979680923,31.906729760121085,1.1336863,1.1161358
8,1.077355511994299,32.17057889198283,1.1330427,1.1201648
9,1.0438510723819248,32.327166299228246,1.1258712,1.1112078
10,1.0261441196846175,32.549689108561935,1.1339335,1.1192168
11,1.0106090272902684,32.81206886651994,1.1408147,1.1201676
12,0.9985952348014567,32.90746252116545,1.1261334,1.1121565
13,0.9841554979752785,33.06366092910966,1.1249968,1.1096029
14,0.9718297967854461,33.31266238641955,1.1274707,1.1092951
15,0.9704467592872537,33.16792170264982,1.1242521,1.1110904
16,0.9574988220723372,33.29982632325593,1.1133386,1.1002803
17,0.9566751320442985,33.089372332617636,1.12134,1.1082517
18,0.9440542030682402,33.07404743134281,1.1264638,1.1118993
19,0.9415121160748982,33.4751596093275,1.1282728,1.1156145
20,0.9409737941201245,33.41581351112848,1.1189995,1.105462
21,0.9355888956101,33.27639379955505,1.1260471,1.1103094
22,0.9355140851488383,33.15119505044831,1.1248844,1.1088574
23,0.9349672746071208,33.10741226841452,1.1175233,1.1013101
24,0.9258135054647747,33.116074235355484,1.1236597,1.1096891
25,0.9244865797253038,33.23581029654945,1.1181381,1.1056476
26,0.9272615093434868,33.373486289383855,1.119246,1.1051784
27,0.9185054359083195,33.43015804845665,1.1309109,1.1128461
28,0.917929286479875,33.456453728031576,1.1239525,1.1120126
29,0.9209999280491072,33.36568891497766,1.124819,1.110667
30,0.9169761499066036,33.32083754322171,1.1264255,1.1122869
