round,avg_global_train_loss,avg_personalized_train_loss,avg_global_test_rmse,avg_personalized_test_rmse
1,4.548940483534099,43.31052926164881,1.4357463,1.4403737
2,2.758349062624404,68.13822276233279,1.3048291,1.3139955
3,1.8323606880903909,33.45974903681538,1.2038035,1.1936983
4,1.4644590330824596,29.472150753054017,1.1682096,1.15966
5,1.2782878674689402,30.342511149182872,1.1610459,1.150831
6,1.1777699861730486,30.966349241758877,1.1503261,1.1365862
7,1.101554422568071,31.34615623351747,1.1464422,1.1317574
8,1.0586593388912875,31.729726714318293,1.1399329,1.1290282
9,1.026112254448842,32.32614386428979,1.138686,1.1254401
10,0.999964249953836,32.511812767298046,1.136958,1.1174777
11,0.9770977657069565,32.5760635014877,1.1447244,1.1280963
12,0.96819104946135,32.86083281531415,1.1302044,1.116636
13,0.9567053385810456,32.60911342819183,1.1289258,1.1150205
14,0.9398086689853098,32.93157780920064,1.1394271,1.1231769
15,0.9268254924295632,33.05070266458882,1.1287172,1.1161553
16,0.9220424802279368,33.54532889981839,1.1345851,1.1169128
17,0.9121998924544867,33.48915393454782,1.1386745,1.1199313
18,0.904785092057167,33.34587207848195,1.129955,1.1165626
19,0.9024063016861783,32.98258001193151,1.1225137,1.1076138
20,0.9047842263281505,33.322204722044454,1.1381712,1.1214979
21,0.8975762004455247,33.356450158250794,1.1252021,1.1108063
22,0.894921215955358,33.2472569461151,1.1318208,1.114271
23,0.8909038073729765,33.27840448153711,1.1336048,1.1201164
24,0.8914668903846984,33.50242862413432,1.1302986,1.1155894
25,0.8878814666104449,33.467145741084366,1.1292078,1.111098
26,0.8897142754839141,33.40450449112993,1.1355531,1.117712
27,0.8843785679008802,33.20003412590014,1.1174469,1.1044898
28,0.8843398991200553,33.30283332935014,1.135989,1.1178048
29,0.8862835898024176,33.33781838331136,1.137554,1.121031
30,0.8812199625146461,33.250384466046846,1.128499,1.1125863
